rank,wallet_address,layer3_xp
141,0x2be9300e39391326ee1b4903430bb09555a98d2d,1600
142,0x7f84a0cff5cfec532a76725d184ab57a38d4381a,1600
143,0xadad7ec70ac6b2599360efc99089b575e4bc376d,1600
144,0xbdac6532be38db1d48640d46c3011df6d4c099ec,1600
145,0xe4a45f74967f75dccd6947a9dfe25333727a4737,1600
146,0x5465fab628df27a013cd93532570077fc5240331,1600
147,0x972b8ed609d5577739cc585bc0ccab03aee621af,1600
148,0x9763771312dfed5bd8f14c224626be2af6c4102a,1600
149,0xa7e6cc1b23dcb615f7abf18cbaa4e0e74a0f1784,1600
150,0xac65e21575e37dd72a1e1e0cf1bb5ebd33efd3da,1600
151,0x14afbe671fc61e530ebbf176ea542420feae340b,1600
152,0x3775be3933525a25436e10447a595468319f860e,1600
153,0xed6f695f1db79428c0afeb1697ab3b553a3a7cb4,1600
154,0xd409250ce8010e4f21ad13188bd44b3fc442c819,1600
155,0x20c28c5c550f1c349785f60617545b51cc30263e,1600
156,0x7d288edf78f0cfb8e337961d08c7e172899cd037,1600
157,0x35a569f2ad032d0d6e72b2f8b9b0ce06316c85ad,1600
158,0x5c5c76c31123bb8ae731116dbe61c5b1836f63b1,1600
159,0x2fa5fcc93ac9b373ef0065708330f7cac493fea7,1600
160,0x6564a0e66e63c7429d47945bf5310fb0d758337d,1600
161,0xc583be5764b1babbf35693d45476f449ca79951d,1600
162,0x002841301d1ab971d8acb3509aa2891e3ef9d7e1,1600
163,0x56328facba0da5c1196a1df2c0a615a938c5a646,1600
164,0x53b07d5874d4ec3aaa6cf60daf1bd47bac27b12c,1600
165,0x7a5e66249841476f348bd95c5a8c51025da28066,1600
166,0x38755fd3e12a4d5c72a2ca0816f4801ffdfc2057,1600
167,0x72292f8183dad15dae55377321d29f1053d1603f,1600
168,0x4b96ebe2d889eb1bed7b35bb2e7b471f0ebf7377,1600
169,0xafd7f0e8871e517daf1242574b65e147c254fbd3,1600
170,0x5f1f6c7ae6944ef82966365946c1eeb2ea7a9505,1600
171,0x785dc7204e2da8694c045e615562e946aadbf914,1600
172,0x9a2fed1871a32636cb5f7b2c837998bd1f1b9cb9,1600
173,0xe564253267dcd9c190061fd29a1aa99ed00723c8,1600
174,0x60b1708e496f33efb9198fe5219656f31665d16c,1600
175,0x54fbffc0ae16a932d0180e21a490f82f66bb9b50,1600
176,0x68dee0094fc386118e6d5ed58395eef894a6836a,1600
177,0xe228c34252bd874c489c2a99e03476162d74db02,1600
178,0x00ef535671bb9c13d195c5cc2fa3a65f522b764a,1600
179,0xfc46a7673e85f591337e50c260e184d8fd316a82,1600
180,0xc89f25c5b90543e516ed3db12b10be49d45b1892,1600
181,0x18fd3b1bc08af0d4ea39322c96901b84e367d134,1600
182,0x13b3ff6f1d996eaf36022ea2a92669e1371e46d7,1600
183,0x11a49404b74ae8dd718e339bcf2d152b71e08ff2,1600
184,0x61f6d8a42c4f3dd4fb2376adaf912a619b47ba97,1600
185,0x7c2ffb059a5b0a9dad492d57484626bc16cac021,1600
186,0x8659e896bd1d7a32e2efc9ddc097f66a330d8f6d,1600
187,0x58428a865f0649e32958fc526fe55af0bf78b233,1600
188,0x41f5af75766c963a00129427621d8b10ed1da100,1600
189,0x39afe2176de832be2a5164e5fc91e27d1355c88d,1600
190,0x432c2ae9ee0992f8e0d7bccdcae13ab0bc514293,1600
191,0xd636e39d99571a56d783c2b8a99676be25695b6e,1600
192,0x1eed66ca7404d3092590beab6d49a08cf94da439,1600
193,0xa7f053d0a4df46577428b84fb3a59e98775ee698,1600
194,0x97c6d5b8dd11d05591b230642f9aa3b79080dde7,1600
195,0xdd45475a15db44fd8b2b382d3ec6d3c3822dc3a5,1600
196,0xe7b28cc28614fdd07f3b9597a59807ae5fc74c38,1600
197,0xa11113c81523e9fe30967a5948803d5c1b8d9b1c,1600
198,0xcc3d7f9fe6946979215a901bba385a88fdabbbf4,1600
199,0xc486131964dba3ad4be1e9cc19e8915f63b50d90,1600
200,0x5d7155846d19b6c097a242e05bba6226feed9eae,1600
201,0xbdb167045242a9cae5ea667de5ce6e6984b03b61,1600
202,0x1bba15127f9fd12a20e0e8c3a1e9c88245452ef3,1600
203,0x657b736098b09fbb10a84434b2681c38f269b54f,1600
204,0x22baac1e95efc010e35d5ed643bb16c9db254a11,1600
205,0x314174310c3934c6924ec451754064923840aa99,1600
206,0x545908fece870215dff4ba6f949b0190c6b5137b,1600
207,0x4f79bb1ca46b44c4fce94dda3be4e14394881f39,1600
208,0x14b6f9a677ea9b2f2714391a52a75ff9ee9b9a43,1600
209,0xdee095e072227052ceada9260e5919fbebe44812,1600
210,0x533926cca70da5ac33cc382414aaad71845bf09d,1600
211,0x5b662ea3afcb14ff284bf61d79d2b607890639ae,1600
212,0x72ba95d9701b0ae496ab4320010a43a764905b1b,1600
213,0x02b1e34b8ea94bff33d77e5196e3ae45ba87803a,1600
214,0xd3d6a2beea31085da6be2a874618d466693399f8,1600
215,0xd915185860c732c991be071948e24a1d01f062f6,1600
216,0x4112cc3bfd4ab3a92b03fa44f64b75b7d65294ff,1600
217,0x0b41078fe96ad555b13eed39f30d2c7d264fdaf5,1600
218,0x5e70d8385c66cbd79d0ad2fab198ee47ce72fc63,1600
219,0x33fb593b4c057cd697813dba596c621b34eeb013,1600
220,0xab4a7e8d16e20d30aa7a3049f75ddb869b7fe491,1600
221,0xa8976d7ebd5bf918994af24f69b77659e948f3c9,1600
222,0x92fa8b7cc084c3696d5f8fdc0eb7b71dd20391d0,1600
223,0x7c84bf06d5a2d5d7f5d08045340334c73ac0ee59,1600
224,0x1afe8a03214bf47300c2b3b7918ffda98fb359c8,1600
225,0xfddec27f8c310c0159c4f171a3fd46fe35a9441f,1600
226,0x20628b67ce5cddac1cb95198c0ff5271f39fc048,1600
227,0x2fcd5e96f819a079cf0aae2e06d8e55cc963fb6e,1600
228,0x649fa8099308de8a4a8118ee96a51c54f81325d6,1600
229,0x7f85cf44e446a4b1aace2a28774e88cd6d4e3441,1600
230,0x43cd8baa8a0d4844e7670ff65cc9ac812ad8f1d2,1600
231,0xb1f8d0c23525a459e5741b7d7f583f4bd0c29bc6,1600
232,0x7c6cc584b8dcd7435d33d29cd467062ef4b3e043,1600
