block_time,blockchain,total,attested_schemas,unique_attesters,unique_recipients
2023-10-30 00:00:00.000 UTC,ethereum,3,2,2,1
2023-10-30 00:00:00.000 UTC,optimism,54,15,20,18
2023-10-31 00:00:00.000 UTC,base,212,5,3,137
2023-10-31 00:00:00.000 UTC,optimism,38,13,12,16
2023-11-01 00:00:00.000 UTC,base,484,4,3,313
2023-11-01 00:00:00.000 UTC,optimism,42,10,17,19
2023-11-02 00:00:00.000 UTC,arbitrum,3,1,1,3
2023-11-02 00:00:00.000 UTC,base,1159,4,2,754
2023-11-02 00:00:00.000 UTC,optimism,71,12,24,29
2023-11-03 00:00:00.000 UTC,base,1233,4,3,803
2023-11-03 00:00:00.000 UTC,ethereum,2,2,1,1
2023-11-03 00:00:00.000 UTC,optimism,59,12,21,33
2023-11-04 00:00:00.000 UTC,arbitrum,4,2,1,1
2023-11-04 00:00:00.000 UTC,base,863,3,2,565
2023-11-04 00:00:00.000 UTC,optimism,66,14,17,19
2023-11-05 00:00:00.000 UTC,base,912,3,2,589
2023-11-05 00:00:00.000 UTC,optimism,33,14,18,17
2023-11-06 00:00:00.000 UTC,base,991,2,1,649
2023-11-06 00:00:00.000 UTC,optimism,28,5,22,22
2023-11-07 00:00:00.000 UTC,base,881,4,2,586
2023-11-07 00:00:00.000 UTC,optimism,39,15,22,19
2023-11-08 00:00:00.000 UTC,base,769,3,2,512
2023-11-08 00:00:00.000 UTC,optimism,28,12,16,14
2023-11-09 00:00:00.000 UTC,base,987,3,3,632
2023-11-09 00:00:00.000 UTC,optimism,58,17,26,25
2023-11-10 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-11-10 00:00:00.000 UTC,base,1241,5,4,795
2023-11-10 00:00:00.000 UTC,optimism,65,17,33,32
2023-11-11 00:00:00.000 UTC,base,866,3,2,574
2023-11-11 00:00:00.000 UTC,optimism,34,8,15,14
2023-11-12 00:00:00.000 UTC,arbitrum,8,1,1,8
2023-11-12 00:00:00.000 UTC,base,825,2,1,528
2023-11-12 00:00:00.000 UTC,optimism,57,10,19,20
2023-11-13 00:00:00.000 UTC,arbitrum,14,3,3,14
2023-11-13 00:00:00.000 UTC,base,791,7,3,522
2023-11-13 00:00:00.000 UTC,optimism,67,13,31,31
2023-11-14 00:00:00.000 UTC,arbitrum,10,2,2,10
2023-11-14 00:00:00.000 UTC,base,764,5,3,506
2023-11-14 00:00:00.000 UTC,ethereum,1,1,1,1
2023-11-14 00:00:00.000 UTC,optimism,54,7,28,29
2023-11-15 00:00:00.000 UTC,base,791,4,2,522
2023-11-15 00:00:00.000 UTC,optimism,42,5,22,25
2023-11-16 00:00:00.000 UTC,base,716,2,1,471
2023-11-16 00:00:00.000 UTC,optimism,23,8,17,17
2023-11-17 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-11-17 00:00:00.000 UTC,base,707,3,2,453
2023-11-17 00:00:00.000 UTC,optimism,627,8,22,611
2023-11-18 00:00:00.000 UTC,base,604,2,1,390
2023-11-18 00:00:00.000 UTC,optimism,14,5,13,13
2023-11-19 00:00:00.000 UTC,arbitrum,14,3,2,7
2023-11-19 00:00:00.000 UTC,base,646,2,1,427
2023-11-19 00:00:00.000 UTC,optimism,35,11,26,26
2023-11-20 00:00:00.000 UTC,base,758,2,1,504
2023-11-20 00:00:00.000 UTC,optimism,10,2,5,9
2023-11-21 00:00:00.000 UTC,base,926,4,2,616
2023-11-21 00:00:00.000 UTC,optimism,134,13,23,48
2023-11-22 00:00:00.000 UTC,base,1193,2,1,787
